"location","origin_date","target","origin_epiweek","output_type","output_type_id","oracle_value"
"hhs3",2018-04-28,"ili perc","2018-18","quantile",NA,1.25161
"hhs3",2018-05-05,"ili perc","2018-19","quantile",NA,0.886278
"hhs3",2018-05-12,"ili perc","2018-20","quantile",NA,0.866576
"hhs3",2018-05-19,"ili perc","2018-21","quantile",NA,0.90358
"hhs3",2018-05-26,"ili perc","2018-22","quantile",NA,0.923076
"hhs3",2018-06-02,"ili perc","2018-23","quantile",NA,1.00452
"hhs3",2018-06-09,"ili perc","2018-24","quantile",NA,0.728166
"hhs3",2018-06-16,"ili perc","2018-25","quantile",NA,0.689275
"hhs3",2018-06-23,"ili perc","2018-26","quantile",NA,0.689769
"hhs3",2018-06-30,"ili perc","2018-27","quantile",NA,0.665195
"hhs3",2018-07-07,"ili perc","2018-28","quantile",NA,0.65648
"hhs3",2018-07-14,"ili perc","2018-29","quantile",NA,0.468338
"hhs3",2018-07-21,"ili perc","2018-30","quantile",NA,0.453637
"hhs3",2018-07-28,"ili perc","2018-31","quantile",NA,0.471383
"hhs3",2018-08-04,"ili perc","2018-32","quantile",NA,0.47077
"hhs3",2018-08-11,"ili perc","2018-33","quantile",NA,0.48385
"hhs3",2018-08-18,"ili perc","2018-34","quantile",NA,0.620948
"hhs3",2018-08-25,"ili perc","2018-35","quantile",NA,0.581021
"hhs3",2018-09-01,"ili perc","2018-36","quantile",NA,0.702887
"hhs3",2018-09-08,"ili perc","2018-37","quantile",NA,0.773528
"hhs3",2018-09-15,"ili perc","2018-38","quantile",NA,0.897002
"hhs3",2018-09-22,"ili perc","2018-39","quantile",NA,1.04843
"hhs3",2018-09-29,"ili perc","2018-40","quantile",NA,1.02938
"hhs3",2018-10-06,"ili perc","2018-41","quantile",NA,1.12617
"hhs3",2018-10-13,"ili perc","2018-42","quantile",NA,1.30645
"hhs3",2018-10-20,"ili perc","2018-43","quantile",NA,1.29501
"hhs3",2018-10-27,"ili perc","2018-44","quantile",NA,1.50833
"hhs3",2018-11-03,"ili perc","2018-45","quantile",NA,1.5906
"hhs3",2018-11-10,"ili perc","2018-46","quantile",NA,1.542
"hhs3",2018-11-17,"ili perc","2018-47","quantile",NA,1.82669
"hhs3",2018-11-24,"ili perc","2018-48","quantile",NA,1.66322
"hhs3",2018-12-01,"ili perc","2018-49","quantile",NA,1.6979
"hhs3",2018-12-08,"ili perc","2018-50","quantile",NA,2.07991
"hhs3",2018-12-15,"ili perc","2018-51","quantile",NA,2.42371
"hhs3",2018-12-22,"ili perc","2018-52","quantile",NA,3.02437
"hhs3",2018-12-29,"ili perc","2018-01","quantile",NA,3.0555
"hhs3",2019-01-05,"ili perc","2019-02","quantile",NA,2.70743
"hhs3",2019-01-12,"ili perc","2019-03","quantile",NA,3.00594
"hhs3",2019-01-19,"ili perc","2019-04","quantile",NA,3.42145
"hhs3",2019-01-26,"ili perc","2019-05","quantile",NA,3.61022
"hhs3",2019-02-02,"ili perc","2019-06","quantile",NA,4.22377
"hhs3",2019-02-09,"ili perc","2019-07","quantile",NA,4.46423
"hhs3",2019-02-16,"ili perc","2019-08","quantile",NA,4.63998
"hhs3",2019-02-23,"ili perc","2019-09","quantile",NA,4.39673
"hhs3",2019-03-02,"ili perc","2019-10","quantile",NA,4.24765
"hhs3",2019-03-09,"ili perc","2019-11","quantile",NA,4.33347
"hhs3",2019-03-16,"ili perc","2019-12","quantile",NA,3.57671
"hhs3",2019-03-23,"ili perc","2019-13","quantile",NA,3.12954
"hhs3",2019-03-30,"ili perc","2019-14","quantile",NA,2.46967
"hhs3",2019-04-06,"ili perc","2019-15","quantile",NA,1.96737
"hhs3",2019-04-13,"ili perc","2019-16","quantile",NA,1.51843
"hhs3",2019-04-20,"ili perc","2019-17","quantile",NA,1.2436
"hhs3",2019-04-27,"ili perc","2019-18","quantile",NA,1.08402
"hhs3",2019-05-04,"ili perc","2019-19","quantile",NA,1.02676
"hhs3",2019-05-11,"ili perc","2019-20","quantile",NA,0.932613
"hhs3",2019-05-18,"ili perc","2019-21","quantile",NA,1.01843
"hhs3",2019-05-25,"ili perc","2019-22","quantile",NA,1.04391
"hhs3",2019-06-01,"ili perc","2019-23","quantile",NA,0.916497
"hhs3",2019-06-08,"ili perc","2019-24","quantile",NA,0.757823
"hhs3",2019-06-15,"ili perc","2019-25","quantile",NA,0.750334
"hhs3",2019-06-22,"ili perc","2019-26","quantile",NA,0.629509
"hhs3",2019-06-29,"ili perc","2019-27","quantile",NA,0.542949
"hhs3",2019-07-06,"ili perc","2019-28","quantile",NA,0.518661
"hhs3",2019-07-13,"ili perc","2019-29","quantile",NA,0.523784
"hhs3",2019-07-20,"ili perc","2019-30","quantile",NA,0.496675
"hhs3",2019-07-27,"ili perc","2019-31","quantile",NA,0.486716
"hhs3",2019-08-03,"ili perc","2019-32","quantile",NA,0.461385
"hhs3",2019-08-10,"ili perc","2019-33","quantile",NA,0.486512
"hhs3",2019-08-17,"ili perc","2019-34","quantile",NA,0.517061
"hhs3",2019-08-24,"ili perc","2019-35","quantile",NA,0.539185
"hhs3",2019-08-31,"ili perc","2019-36","quantile",NA,0.639543
"hhs3",2019-09-07,"ili perc","2019-37","quantile",NA,0.78208
"hhs3",2019-09-14,"ili perc","2019-38","quantile",NA,0.878713
"hhs3",2019-09-21,"ili perc","2019-39","quantile",NA,0.981034
"hhs3",2019-09-28,"ili perc","2019-40","quantile",NA,1.16365
"hhs3",2019-10-05,"ili perc","2019-41","quantile",NA,1.28536
"hhs3",2019-10-12,"ili perc","2019-42","quantile",NA,1.40386
"hhs3",2019-10-19,"ili perc","2019-43","quantile",NA,1.5576
"hhs3",2019-10-26,"ili perc","2019-44","quantile",NA,1.5272
"hhs3",2019-11-02,"ili perc","2019-45","quantile",NA,1.69368
"hhs3",2019-11-09,"ili perc","2019-46","quantile",NA,1.86702
"hhs3",2019-11-16,"ili perc","2019-47","quantile",NA,2.05799
"hhs3",2019-11-23,"ili perc","2019-48","quantile",NA,2.39073
"hhs3",2019-11-30,"ili perc","2019-49","quantile",NA,2.4231
"hhs3",2019-12-07,"ili perc","2019-50","quantile",NA,2.98098
"hhs3",2019-12-14,"ili perc","2019-51","quantile",NA,3.91613
"hhs3",2019-12-21,"ili perc","2019-52","quantile",NA,5.64113
"hhs3",2019-12-28,"ili perc","2019-01","quantile",NA,5.48181
"hhs3",2020-01-04,"ili perc","2020-02","quantile",NA,4.40187
"hhs3",2020-01-11,"ili perc","2020-03","quantile",NA,4.61257
"hhs3",2020-01-18,"ili perc","2020-04","quantile",NA,5.28306
"hhs3",2020-01-25,"ili perc","2020-05","quantile",NA,6.30302
"hhs3",2020-02-01,"ili perc","2020-06","quantile",NA,6.49099
"hhs3",2020-02-08,"ili perc","2020-07","quantile",NA,5.78865
"hhs3",2020-02-15,"ili perc","2020-08","quantile",NA,5.27725
"hhs3",2020-02-22,"ili perc","2020-09","quantile",NA,5.16024
"hhs4",2015-10-17,"ili perc","2015-42","quantile",NA,1.04879
"hhs4",2015-10-24,"ili perc","2015-43","quantile",NA,1.07812
"hhs4",2015-10-31,"ili perc","2015-44","quantile",NA,1.08835
"hhs4",2015-11-07,"ili perc","2015-45","quantile",NA,1.0871
"hhs4",2015-11-14,"ili perc","2015-46","quantile",NA,1.26322
"hhs4",2015-11-21,"ili perc","2015-47","quantile",NA,1.56158
"hhs4",2015-11-28,"ili perc","2015-48","quantile",NA,1.31254
"hhs4",2015-12-05,"ili perc","2015-49","quantile",NA,1.33302
"hhs4",2015-12-12,"ili perc","2015-50","quantile",NA,1.4868
"hhs4",2015-12-19,"ili perc","2015-51","quantile",NA,1.86992
"hhs4",2015-12-26,"ili perc","2015-52","quantile",NA,1.72166
"hhs4",2016-01-02,"ili perc","2016-01","quantile",NA,1.36654
"hhs4",2016-01-09,"ili perc","2016-02","quantile",NA,1.48204
"hhs4",2016-01-16,"ili perc","2016-03","quantile",NA,1.74907
"hhs4",2016-01-23,"ili perc","2016-04","quantile",NA,1.8905
"hhs4",2016-01-30,"ili perc","2016-05","quantile",NA,2.0207
"hhs4",2016-02-06,"ili perc","2016-06","quantile",NA,2.24789
"hhs4",2016-02-13,"ili perc","2016-07","quantile",NA,2.92328
"hhs4",2016-02-20,"ili perc","2016-08","quantile",NA,3.32059
"hhs4",2016-02-27,"ili perc","2016-09","quantile",NA,3.2935
"hhs4",2016-03-05,"ili perc","2016-10","quantile",NA,3.63006
"hhs4",2016-03-12,"ili perc","2016-11","quantile",NA,2.85287
"hhs4",2016-03-19,"ili perc","2016-12","quantile",NA,2.76107
"hhs4",2016-03-26,"ili perc","2016-13","quantile",NA,2.65159
"hhs4",2016-04-02,"ili perc","2016-14","quantile",NA,2.13917
"hhs4",2016-04-09,"ili perc","2016-15","quantile",NA,2.03332
"hhs4",2016-04-16,"ili perc","2016-16","quantile",NA,1.99591
"hhs4",2016-04-23,"ili perc","2016-17","quantile",NA,1.76476
"hhs4",2016-04-30,"ili perc","2016-18","quantile",NA,1.67187
"hhs4",2016-05-07,"ili perc","2016-19","quantile",NA,1.47025
"hhs4",2016-05-14,"ili perc","2016-20","quantile",NA,1.21156
"hhs4",2016-05-21,"ili perc","2016-21","quantile",NA,1.06968
"hhs4",2016-05-28,"ili perc","2016-22","quantile",NA,1.0761
"hhs4",2016-06-04,"ili perc","2016-23","quantile",NA,0.958225
"hhs4",2016-06-11,"ili perc","2016-24","quantile",NA,0.995012
"hhs4",2016-06-18,"ili perc","2016-25","quantile",NA,0.844627
"hhs4",2016-06-25,"ili perc","2016-26","quantile",NA,0.713695
"hhs4",2016-07-02,"ili perc","2016-27","quantile",NA,0.675263
"hhs4",2016-07-09,"ili perc","2016-28","quantile",NA,0.65847
"hhs4",2016-07-16,"ili perc","2016-29","quantile",NA,0.637795
"hhs4",2016-07-23,"ili perc","2016-30","quantile",NA,0.653224
"hhs4",2016-07-30,"ili perc","2016-31","quantile",NA,0.615225
"hhs4",2016-08-06,"ili perc","2016-32","quantile",NA,0.851918
"hhs4",2016-08-13,"ili perc","2016-33","quantile",NA,0.859982
"hhs4",2016-08-20,"ili perc","2016-34","quantile",NA,0.992024
"hhs4",2016-08-27,"ili perc","2016-35","quantile",NA,1.01695
"hhs4",2016-09-03,"ili perc","2016-36","quantile",NA,0.900288
"hhs4",2016-09-10,"ili perc","2016-37","quantile",NA,1.07002
"hhs4",2016-09-17,"ili perc","2016-38","quantile",NA,1.1253
"hhs4",2016-09-24,"ili perc","2016-39","quantile",NA,1.31649
"hhs4",2016-10-01,"ili perc","2016-40","quantile",NA,1.17386
"hhs4",2016-10-08,"ili perc","2016-41","quantile",NA,1.23174
"hhs4",2016-10-15,"ili perc","2016-42","quantile",NA,1.2768
"hhs4",2016-10-22,"ili perc","2016-43","quantile",NA,1.38032
"hhs4",2016-10-29,"ili perc","2016-44","quantile",NA,1.64361
"hhs4",2016-11-05,"ili perc","2016-45","quantile",NA,1.67847
"hhs4",2016-11-12,"ili perc","2016-46","quantile",NA,1.9058
"hhs4",2016-11-19,"ili perc","2016-47","quantile",NA,2.19048
"hhs4",2016-11-26,"ili perc","2016-48","quantile",NA,1.92682
"hhs4",2016-12-03,"ili perc","2016-49","quantile",NA,1.82204
"hhs4",2016-12-10,"ili perc","2016-50","quantile",NA,2.27691
"hhs4",2016-12-17,"ili perc","2016-51","quantile",NA,2.93491
"hhs4",2016-12-24,"ili perc","2016-52","quantile",NA,3.37282
"hhs4",2016-12-31,"ili perc","2017-01","quantile",NA,2.91179
"hhs4",2017-01-07,"ili perc","2017-02","quantile",NA,2.89395
"hhs4",2017-01-14,"ili perc","2017-03","quantile",NA,3.68564
"hhs4",2017-01-21,"ili perc","2017-04","quantile",NA,3.69188
"hhs4",2017-01-28,"ili perc","2017-05","quantile",NA,4.53169
"hhs4",2017-02-04,"ili perc","2017-06","quantile",NA,5.11778
"hhs4",2017-02-11,"ili perc","2017-07","quantile",NA,5.5107
"hhs4",2017-02-18,"ili perc","2017-08","quantile",NA,5.48046
"hhs4",2017-02-25,"ili perc","2017-09","quantile",NA,4.52709
"hhs4",2017-03-04,"ili perc","2017-10","quantile",NA,4.53598
"hhs4",2017-03-11,"ili perc","2017-11","quantile",NA,3.878
"hhs4",2017-03-18,"ili perc","2017-12","quantile",NA,4.67964
"hhs4",2017-03-25,"ili perc","2017-13","quantile",NA,3.6751
"hhs4",2017-04-01,"ili perc","2017-14","quantile",NA,2.74066
"hhs4",2017-04-08,"ili perc","2017-15","quantile",NA,2.17782
"hhs4",2017-04-15,"ili perc","2017-16","quantile",NA,1.79914
"hhs4",2017-04-22,"ili perc","2017-17","quantile",NA,1.49321
"hhs4",2017-04-29,"ili perc","2017-18","quantile",NA,1.24508
"hhs4",2017-05-06,"ili perc","2017-19","quantile",NA,1.39615
"hhs4",2017-05-13,"ili perc","2017-20","quantile",NA,1.27115
"hhs4",2017-05-20,"ili perc","2017-21","quantile",NA,1.19756
"hhs4",2017-05-27,"ili perc","2017-22","quantile",NA,0.968787
"hhs4",2017-06-03,"ili perc","2017-23","quantile",NA,0.878384
"hhs4",2017-06-10,"ili perc","2017-24","quantile",NA,0.721797
"hhs4",2017-06-17,"ili perc","2017-25","quantile",NA,0.644565
"hhs4",2017-06-24,"ili perc","2017-26","quantile",NA,0.603647
"hhs4",2017-07-01,"ili perc","2017-27","quantile",NA,0.637539
"hhs4",2017-07-08,"ili perc","2017-28","quantile",NA,0.593663
"hhs4",2017-07-15,"ili perc","2017-29","quantile",NA,0.489899
"hhs4",2017-07-22,"ili perc","2017-30","quantile",NA,0.535532
"hhs4",2017-07-29,"ili perc","2017-31","quantile",NA,0.476357
"hhs4",2017-08-05,"ili perc","2017-32","quantile",NA,0.483647
"hhs4",2017-08-12,"ili perc","2017-33","quantile",NA,0.674289
"hhs4",2017-08-19,"ili perc","2017-34","quantile",NA,0.782429
"hhs4",2017-08-26,"ili perc","2017-35","quantile",NA,1.11294
"hhs4",2017-09-02,"ili perc","2017-36","quantile",NA,1.17542
"hhs4",2017-09-09,"ili perc","2017-37","quantile",NA,0.937823
"hhs4",2017-09-16,"ili perc","2017-38","quantile",NA,0.902408
"hhs4",2017-09-23,"ili perc","2017-39","quantile",NA,1.02557
"hhs4",2017-09-30,"ili perc","2017-40","quantile",NA,1.15704
"hhs4",2017-10-07,"ili perc","2017-41","quantile",NA,1.2559
"hhs4",2017-10-14,"ili perc","2017-42","quantile",NA,1.25906
"hhs4",2017-10-21,"ili perc","2017-43","quantile",NA,1.59472
"hhs4",2017-10-28,"ili perc","2017-44","quantile",NA,1.78955
"hhs4",2017-11-04,"ili perc","2017-45","quantile",NA,2.12802
"hhs4",2017-11-11,"ili perc","2017-46","quantile",NA,2.22418
"hhs4",2017-11-18,"ili perc","2017-47","quantile",NA,2.54255
"hhs4",2017-11-25,"ili perc","2017-48","quantile",NA,2.23681
"hhs4",2017-12-02,"ili perc","2017-49","quantile",NA,2.5325
"hhs4",2017-12-09,"ili perc","2017-50","quantile",NA,3.10558
"hhs4",2017-12-16,"ili perc","2017-51","quantile",NA,4.62754
"hhs4",2017-12-23,"ili perc","2017-52","quantile",NA,5.3309
"hhs4",2017-12-30,"ili perc","2017-01","quantile",NA,5.35557
"hhs4",2018-01-06,"ili perc","2018-02","quantile",NA,6.64069
"hhs4",2018-01-13,"ili perc","2018-03","quantile",NA,8.35345
"hhs4",2018-01-20,"ili perc","2018-04","quantile",NA,9.23174
"hhs4",2018-01-27,"ili perc","2018-05","quantile",NA,9.25521
"hhs4",2018-02-03,"ili perc","2018-06","quantile",NA,9.00779
"hhs4",2018-02-10,"ili perc","2018-07","quantile",NA,6.98828
"hhs4",2018-02-17,"ili perc","2018-08","quantile",NA,4.76595
"hhs4",2018-02-24,"ili perc","2018-09","quantile",NA,3.08799
"hhs4",2018-03-03,"ili perc","2018-10","quantile",NA,2.71229
"hhs4",2018-03-10,"ili perc","2018-11","quantile",NA,2.40824
"hhs4",2018-03-17,"ili perc","2018-12","quantile",NA,2.04185
"hhs4",2018-03-24,"ili perc","2018-13","quantile",NA,2.05329
"hhs4",2018-03-31,"ili perc","2018-14","quantile",NA,1.77067
"hhs4",2018-04-07,"ili perc","2018-15","quantile",NA,1.49163
"hhs4",2018-04-14,"ili perc","2018-16","quantile",NA,1.29232
"hhs4",2018-04-21,"ili perc","2018-17","quantile",NA,1.2095
"hhs4",2018-04-28,"ili perc","2018-18","quantile",NA,1.19057
"hhs4",2018-05-05,"ili perc","2018-19","quantile",NA,0.998856
"hhs4",2018-05-12,"ili perc","2018-20","quantile",NA,0.957264
"hhs4",2018-05-19,"ili perc","2018-21","quantile",NA,0.943487
"hhs4",2018-05-26,"ili perc","2018-22","quantile",NA,0.866142
"hhs4",2018-06-02,"ili perc","2018-23","quantile",NA,0.775926
"hhs4",2018-06-09,"ili perc","2018-24","quantile",NA,0.647844
"hhs4",2018-06-16,"ili perc","2018-25","quantile",NA,0.605189
"hhs4",2018-06-23,"ili perc","2018-26","quantile",NA,0.468432
"hhs4",2018-06-30,"ili perc","2018-27","quantile",NA,0.601611
"hhs4",2018-07-07,"ili perc","2018-28","quantile",NA,0.574884
"hhs4",2018-07-14,"ili perc","2018-29","quantile",NA,0.473682
"hhs4",2018-07-21,"ili perc","2018-30","quantile",NA,0.522749
"hhs4",2018-07-28,"ili perc","2018-31","quantile",NA,0.47859
"hhs4",2018-08-04,"ili perc","2018-32","quantile",NA,0.5025
"hhs4",2018-08-11,"ili perc","2018-33","quantile",NA,0.706872
"hhs4",2018-08-18,"ili perc","2018-34","quantile",NA,0.763744
"hhs4",2018-08-25,"ili perc","2018-35","quantile",NA,0.865641
"hhs4",2018-09-01,"ili perc","2018-36","quantile",NA,1.09321
"hhs4",2018-09-08,"ili perc","2018-37","quantile",NA,0.994241
"hhs4",2018-09-15,"ili perc","2018-38","quantile",NA,0.997486
"hhs4",2018-09-22,"ili perc","2018-39","quantile",NA,1.06629
"hhs4",2018-09-29,"ili perc","2018-40","quantile",NA,1.24084
"hhs4",2018-10-06,"ili perc","2018-41","quantile",NA,1.34703
"hhs4",2018-10-13,"ili perc","2018-42","quantile",NA,1.35855
"hhs4",2018-10-20,"ili perc","2018-43","quantile",NA,1.64623
"hhs4",2018-10-27,"ili perc","2018-44","quantile",NA,1.81154
"hhs4",2018-11-03,"ili perc","2018-45","quantile",NA,1.91672
"hhs4",2018-11-10,"ili perc","2018-46","quantile",NA,1.99692
"hhs4",2018-11-17,"ili perc","2018-47","quantile",NA,2.29561
"hhs4",2018-11-24,"ili perc","2018-48","quantile",NA,2.14917
"hhs4",2018-12-01,"ili perc","2018-49","quantile",NA,2.19446
"hhs4",2018-12-08,"ili perc","2018-50","quantile",NA,2.72594
"hhs4",2018-12-15,"ili perc","2018-51","quantile",NA,3.21808
"hhs4",2018-12-22,"ili perc","2018-52","quantile",NA,4.06279
"hhs4",2018-12-29,"ili perc","2018-01","quantile",NA,3.35579
"hhs4",2019-01-05,"ili perc","2019-02","quantile",NA,2.67241
"hhs4",2019-01-12,"ili perc","2019-03","quantile",NA,3.04234
"hhs4",2019-01-19,"ili perc","2019-04","quantile",NA,4.00237
"hhs4",2019-01-26,"ili perc","2019-05","quantile",NA,4.82199
"hhs4",2019-02-02,"ili perc","2019-06","quantile",NA,5.94921
"hhs4",2019-02-09,"ili perc","2019-07","quantile",NA,5.73582
"hhs4",2019-02-16,"ili perc","2019-08","quantile",NA,5.09036
"hhs4",2019-02-23,"ili perc","2019-09","quantile",NA,4.07313
"hhs4",2019-03-02,"ili perc","2019-10","quantile",NA,3.71192
"hhs4",2019-03-09,"ili perc","2019-11","quantile",NA,3.36203
"hhs4",2019-03-16,"ili perc","2019-12","quantile",NA,2.97592
"hhs4",2019-03-23,"ili perc","2019-13","quantile",NA,2.44418
"hhs4",2019-03-30,"ili perc","2019-14","quantile",NA,2.27651
"hhs4",2019-04-06,"ili perc","2019-15","quantile",NA,1.86745
"hhs4",2019-04-13,"ili perc","2019-16","quantile",NA,1.60937
"hhs4",2019-04-20,"ili perc","2019-17","quantile",NA,1.45855
"hhs4",2019-04-27,"ili perc","2019-18","quantile",NA,1.35239
"hhs4",2019-05-04,"ili perc","2019-19","quantile",NA,1.26419
"hhs4",2019-05-11,"ili perc","2019-20","quantile",NA,1.26802
"hhs4",2019-05-18,"ili perc","2019-21","quantile",NA,1.06614
"hhs4",2019-05-25,"ili perc","2019-22","quantile",NA,1.15371
"hhs4",2019-06-01,"ili perc","2019-23","quantile",NA,0.878735
"hhs4",2019-06-08,"ili perc","2019-24","quantile",NA,0.783638
"hhs4",2019-06-15,"ili perc","2019-25","quantile",NA,0.658507
"hhs4",2019-06-22,"ili perc","2019-26","quantile",NA,0.652394
"hhs4",2019-06-29,"ili perc","2019-27","quantile",NA,0.633585
"hhs4",2019-07-06,"ili perc","2019-28","quantile",NA,0.603001
"hhs4",2019-07-13,"ili perc","2019-29","quantile",NA,0.56145
"hhs4",2019-07-20,"ili perc","2019-30","quantile",NA,0.602296
"hhs4",2019-07-27,"ili perc","2019-31","quantile",NA,0.609666
"hhs4",2019-08-03,"ili perc","2019-32","quantile",NA,0.59727
"hhs4",2019-08-10,"ili perc","2019-33","quantile",NA,0.71023
"hhs4",2019-08-17,"ili perc","2019-34","quantile",NA,0.894721
"hhs4",2019-08-24,"ili perc","2019-35","quantile",NA,1.04236
"hhs4",2019-08-31,"ili perc","2019-36","quantile",NA,1.30448
"hhs4",2019-09-07,"ili perc","2019-37","quantile",NA,1.22631
"hhs4",2019-09-14,"ili perc","2019-38","quantile",NA,1.27698
"hhs4",2019-09-21,"ili perc","2019-39","quantile",NA,1.33699
"hhs4",2019-09-28,"ili perc","2019-40","quantile",NA,1.67601
"hhs4",2019-10-05,"ili perc","2019-41","quantile",NA,1.63027
"hhs4",2019-10-12,"ili perc","2019-42","quantile",NA,1.81806
"hhs4",2019-10-19,"ili perc","2019-43","quantile",NA,1.96609
"hhs4",2019-10-26,"ili perc","2019-44","quantile",NA,2.29988
"hhs4",2019-11-02,"ili perc","2019-45","quantile",NA,2.87142
"hhs4",2019-11-09,"ili perc","2019-46","quantile",NA,3.13118
"hhs4",2019-11-16,"ili perc","2019-47","quantile",NA,3.34192
"hhs4",2019-11-23,"ili perc","2019-48","quantile",NA,4.19914
"hhs4",2019-11-30,"ili perc","2019-49","quantile",NA,4.02323
"hhs4",2019-12-07,"ili perc","2019-50","quantile",NA,4.98403
"hhs4",2019-12-14,"ili perc","2019-51","quantile",NA,6.39636
"hhs4",2019-12-21,"ili perc","2019-52","quantile",NA,8.76758
"hhs4",2019-12-28,"ili perc","2019-01","quantile",NA,6.82022
"hhs4",2020-01-04,"ili perc","2020-02","quantile",NA,5.20089
"hhs4",2020-01-11,"ili perc","2020-03","quantile",NA,5.42013
"hhs4",2020-01-18,"ili perc","2020-04","quantile",NA,6.44947
"hhs4",2020-01-25,"ili perc","2020-05","quantile",NA,7.46101
"hhs4",2020-02-01,"ili perc","2020-06","quantile",NA,7.30036
"hhs4",2020-02-08,"ili perc","2020-07","quantile",NA,6.32193
"hhs4",2020-02-15,"ili perc","2020-08","quantile",NA,5.35342
"hhs4",2020-02-22,"ili perc","2020-09","quantile",NA,4.80979
"hhs5",2015-10-17,"ili perc","2015-42","quantile",NA,1.06713
"hhs5",2015-10-24,"ili perc","2015-43","quantile",NA,1.115
"hhs5",2015-10-31,"ili perc","2015-44","quantile",NA,1.21929
"hhs5",2015-11-07,"ili perc","2015-45","quantile",NA,1.30849
"hhs5",2015-11-14,"ili perc","2015-46","quantile",NA,1.24532
"hhs5",2015-11-21,"ili perc","2015-47","quantile",NA,1.43337
"hhs5",2015-11-28,"ili perc","2015-48","quantile",NA,1.14488
"hhs5",2015-12-05,"ili perc","2015-49","quantile",NA,1.38051
"hhs5",2015-12-12,"ili perc","2015-50","quantile",NA,1.44161
"hhs5",2015-12-19,"ili perc","2015-51","quantile",NA,1.8278
"hhs5",2015-12-26,"ili perc","2015-52","quantile",NA,1.73677
"hhs5",2016-01-02,"ili perc","2016-01","quantile",NA,1.40441
"hhs5",2016-01-09,"ili perc","2016-02","quantile",NA,1.36099
"hhs5",2016-01-16,"ili perc","2016-03","quantile",NA,1.43821
"hhs5",2016-01-23,"ili perc","2016-04","quantile",NA,1.45151
"hhs5",2016-01-30,"ili perc","2016-05","quantile",NA,1.57564
"hhs5",2016-02-06,"ili perc","2016-06","quantile",NA,1.82622
"hhs5",2016-02-13,"ili perc","2016-07","quantile",NA,2.38921
"hhs5",2016-02-20,"ili perc","2016-08","quantile",NA,2.69171
"hhs5",2016-02-27,"ili perc","2016-09","quantile",NA,2.9944
"hhs5",2016-03-05,"ili perc","2016-10","quantile",NA,3.41225
"hhs5",2016-03-12,"ili perc","2016-11","quantile",NA,2.60673
"hhs5",2016-03-19,"ili perc","2016-12","quantile",NA,2.31501
"hhs5",2016-03-26,"ili perc","2016-13","quantile",NA,2.00175
"hhs5",2016-04-02,"ili perc","2016-14","quantile",NA,1.59107
"hhs5",2016-04-09,"ili perc","2016-15","quantile",NA,1.45157
"hhs5",2016-04-16,"ili perc","2016-16","quantile",NA,1.46162
"hhs5",2016-04-23,"ili perc","2016-17","quantile",NA,1.34292
"hhs5",2016-04-30,"ili perc","2016-18","quantile",NA,1.03214
"hhs5",2016-05-07,"ili perc","2016-19","quantile",NA,1.11499
"hhs5",2016-05-14,"ili perc","2016-20","quantile",NA,1.04588
"hhs5",2016-05-21,"ili perc","2016-21","quantile",NA,0.803267
"hhs5",2016-05-28,"ili perc","2016-22","quantile",NA,0.912362
"hhs5",2016-06-04,"ili perc","2016-23","quantile",NA,0.838666
"hhs5",2016-06-11,"ili perc","2016-24","quantile",NA,0.702271
"hhs5",2016-06-18,"ili perc","2016-25","quantile",NA,0.57142
"hhs5",2016-06-25,"ili perc","2016-26","quantile",NA,0.561355
"hhs5",2016-07-02,"ili perc","2016-27","quantile",NA,0.528919
"hhs5",2016-07-09,"ili perc","2016-28","quantile",NA,0.530323
"hhs5",2016-07-16,"ili perc","2016-29","quantile",NA,0.524615
"hhs5",2016-07-23,"ili perc","2016-30","quantile",NA,0.571754
"hhs5",2016-07-30,"ili perc","2016-31","quantile",NA,0.559739
"hhs5",2016-08-06,"ili perc","2016-32","quantile",NA,0.499993
"hhs5",2016-08-13,"ili perc","2016-33","quantile",NA,0.534359
"hhs5",2016-08-20,"ili perc","2016-34","quantile",NA,0.69594
"hhs5",2016-08-27,"ili perc","2016-35","quantile",NA,0.638424
"hhs5",2016-09-03,"ili perc","2016-36","quantile",NA,0.695816
"hhs5",2016-09-10,"ili perc","2016-37","quantile",NA,0.794893
"hhs5",2016-09-17,"ili perc","2016-38","quantile",NA,0.854437
"hhs5",2016-09-24,"ili perc","2016-39","quantile",NA,0.983237
"hhs5",2016-10-01,"ili perc","2016-40","quantile",NA,1.00259
"hhs5",2016-10-08,"ili perc","2016-41","quantile",NA,0.977935
"hhs5",2016-10-15,"ili perc","2016-42","quantile",NA,1.0411
"hhs5",2016-10-22,"ili perc","2016-43","quantile",NA,1.10603
"hhs5",2016-10-29,"ili perc","2016-44","quantile",NA,1.26644
"hhs5",2016-11-05,"ili perc","2016-45","quantile",NA,1.2373
"hhs5",2016-11-12,"ili perc","2016-46","quantile",NA,1.21417
"hhs5",2016-11-19,"ili perc","2016-47","quantile",NA,1.26992
"hhs5",2016-11-26,"ili perc","2016-48","quantile",NA,1.24656
"hhs5",2016-12-03,"ili perc","2016-49","quantile",NA,1.48693
"hhs5",2016-12-10,"ili perc","2016-50","quantile",NA,1.55394
"hhs5",2016-12-17,"ili perc","2016-51","quantile",NA,1.84416
"hhs5",2016-12-24,"ili perc","2016-52","quantile",NA,2.36953
"hhs5",2016-12-31,"ili perc","2017-01","quantile",NA,2.10416
