"as_of","location","date","target","origin_epiweek","observation"
"2017-10-01","hhs2",2016-04-30,"ili perc","2016-18",1.4765
"2017-10-01","hhs2",2016-05-07,"ili perc","2016-19",1.38879
"2017-10-01","hhs2",2016-05-14,"ili perc","2016-20",1.25627
"2017-10-01","hhs2",2016-05-21,"ili perc","2016-21",1.21486
"2017-10-01","hhs2",2016-05-28,"ili perc","2016-22",0.83189
"2017-10-01","hhs2",2016-06-04,"ili perc","2016-23",0.892695
"2017-10-01","hhs2",2016-06-11,"ili perc","2016-24",0.829248
"2017-10-01","hhs2",2016-06-18,"ili perc","2016-25",0.805577
"2017-10-01","hhs2",2016-06-25,"ili perc","2016-26",0.839301
"2017-10-01","hhs2",2016-07-02,"ili perc","2016-27",0.682034
"2017-10-01","hhs2",2016-07-09,"ili perc","2016-28",0.660509
"2017-10-01","hhs2",2016-07-16,"ili perc","2016-29",0.679526
"2017-10-01","hhs2",2016-07-23,"ili perc","2016-30",0.746436
"2017-10-01","hhs2",2016-07-30,"ili perc","2016-31",0.634354
"2017-10-01","hhs2",2016-08-06,"ili perc","2016-32",0.533826
"2017-10-01","hhs2",2016-08-13,"ili perc","2016-33",0.568049
"2017-10-01","hhs2",2016-08-20,"ili perc","2016-34",0.60012
"2017-10-01","hhs2",2016-08-27,"ili perc","2016-35",0.603582
"2017-10-01","hhs2",2016-09-03,"ili perc","2016-36",0.68985
"2017-10-01","hhs2",2016-09-10,"ili perc","2016-37",0.739722
"2017-10-01","hhs2",2016-09-17,"ili perc","2016-38",0.767777
"2017-10-01","hhs2",2016-09-24,"ili perc","2016-39",0.932667
"2018-09-23","hhs2",2016-10-01,"ili perc","2016-40",1.74499
"2018-09-23","hhs2",2016-10-08,"ili perc","2016-41",1.88524
"2018-09-23","hhs2",2016-10-15,"ili perc","2016-42",1.93008
"2018-09-23","hhs2",2016-10-22,"ili perc","2016-43",2.05051
"2018-09-23","hhs2",2016-10-29,"ili perc","2016-44",2.2409
"2018-09-23","hhs2",2016-11-05,"ili perc","2016-45",2.46429
"2018-09-23","hhs2",2016-11-12,"ili perc","2016-46",2.53078
"2018-09-23","hhs2",2016-11-19,"ili perc","2016-47",3.25846
"2018-09-23","hhs2",2016-11-26,"ili perc","2016-48",3.18884
"2018-09-23","hhs2",2016-12-03,"ili perc","2016-49",3.26288
"2018-09-23","hhs2",2016-12-10,"ili perc","2016-50",3.40303
"2018-09-23","hhs2",2016-12-17,"ili perc","2016-51",4.54373
"2018-09-23","hhs2",2016-12-24,"ili perc","2016-52",6.04479
"2018-09-23","hhs2",2016-12-31,"ili perc","2017-01",5.34376
"2018-09-23","hhs2",2017-01-07,"ili perc","2017-02",5.07086
"2018-09-23","hhs2",2017-01-14,"ili perc","2017-03",5.68166
"2018-09-23","hhs2",2017-01-21,"ili perc","2017-04",6.01053
"2018-09-23","hhs2",2017-01-28,"ili perc","2017-05",6.49829
"2018-09-23","hhs2",2017-02-04,"ili perc","2017-06",6.93759
"2018-09-23","hhs2",2017-02-11,"ili perc","2017-07",5.72327
"2018-09-23","hhs2",2017-02-18,"ili perc","2017-08",4.74394
"2018-09-23","hhs2",2017-02-25,"ili perc","2017-09",3.14868
"2018-09-23","hhs2",2017-03-04,"ili perc","2017-10",3.07779
"2018-09-23","hhs2",2017-03-11,"ili perc","2017-11",3.26144
"2018-09-23","hhs2",2017-03-18,"ili perc","2017-12",3.07912
"2018-09-23","hhs2",2017-03-25,"ili perc","2017-13",3.72855
"2018-09-23","hhs2",2017-04-01,"ili perc","2017-14",3.73
"2018-09-23","hhs2",2017-04-08,"ili perc","2017-15",3.07639
"2018-09-23","hhs2",2017-04-15,"ili perc","2017-16",2.30839
"2018-09-23","hhs2",2017-04-22,"ili perc","2017-17",2.37195
"2018-09-23","hhs2",2017-04-29,"ili perc","2017-18",2.01884
"2018-09-23","hhs2",2017-05-06,"ili perc","2017-19",2.04102
"2018-09-23","hhs2",2017-05-13,"ili perc","2017-20",2.05369
"2018-09-23","hhs2",2017-05-20,"ili perc","2017-21",1.82629
"2018-09-23","hhs2",2017-05-27,"ili perc","2017-22",1.95155
"2018-09-23","hhs2",2017-06-03,"ili perc","2017-23",1.8621
"2018-09-23","hhs2",2017-06-10,"ili perc","2017-24",1.69066
"2018-09-23","hhs2",2017-06-17,"ili perc","2017-25",1.82187
"2018-09-23","hhs2",2017-06-24,"ili perc","2017-26",1.57032
"2018-09-23","hhs2",2017-07-01,"ili perc","2017-27",1.52523
"2018-09-23","hhs2",2017-07-08,"ili perc","2017-28",1.38403
"2018-09-23","hhs2",2017-07-15,"ili perc","2017-29",1.44517
"2018-09-23","hhs2",2017-07-22,"ili perc","2017-30",1.45844
"2018-09-23","hhs2",2017-07-29,"ili perc","2017-31",1.32634
"2018-09-23","hhs2",2017-08-05,"ili perc","2017-32",1.34713
"2018-09-23","hhs2",2017-08-12,"ili perc","2017-33",1.15738
"2018-09-23","hhs2",2017-08-19,"ili perc","2017-34",1.41483
"2018-09-23","hhs2",2017-08-26,"ili perc","2017-35",1.32425
"2018-09-23","hhs2",2017-09-02,"ili perc","2017-36",1.46271
"2018-09-23","hhs2",2017-09-09,"ili perc","2017-37",1.41239
"2018-09-23","hhs2",2017-09-16,"ili perc","2017-38",1.5084
"2018-09-23","hhs2",2017-09-23,"ili perc","2017-39",1.55442
"2019-09-22","hhs2",2017-09-30,"ili perc","2017-40",1.52964
"2019-09-22","hhs2",2017-10-07,"ili perc","2017-41",1.63699
"2019-09-22","hhs2",2017-10-14,"ili perc","2017-42",1.86708
"2019-09-22","hhs2",2017-10-21,"ili perc","2017-43",2.09091
"2019-09-22","hhs2",2017-10-28,"ili perc","2017-44",2.41627
"2019-09-22","hhs2",2017-11-04,"ili perc","2017-45",2.39732
"2019-09-22","hhs2",2017-11-11,"ili perc","2017-46",2.828
"2019-09-22","hhs2",2017-11-18,"ili perc","2017-47",2.83733
"2019-09-22","hhs2",2017-11-25,"ili perc","2017-48",2.97265
"2019-09-22","hhs2",2017-12-02,"ili perc","2017-49",3.15216
"2019-09-22","hhs2",2017-12-09,"ili perc","2017-50",3.59161
"2019-09-22","hhs2",2017-12-16,"ili perc","2017-51",4.3243
"2019-09-22","hhs2",2017-12-23,"ili perc","2017-52",4.52747
"2019-09-22","hhs2",2017-12-30,"ili perc","2017-01",4.93792
"2019-09-22","hhs2",2018-01-06,"ili perc","2018-02",5.89362
"2019-09-22","hhs2",2018-01-13,"ili perc","2018-03",6.831
"2019-09-22","hhs2",2018-01-20,"ili perc","2018-04",8.44625
"2019-09-22","hhs2",2018-01-27,"ili perc","2018-05",9.84631
"2019-09-22","hhs2",2018-02-03,"ili perc","2018-06",10.3506
"2019-09-22","hhs2",2018-02-10,"ili perc","2018-07",10.1735
"2019-09-22","hhs2",2018-02-17,"ili perc","2018-08",7.36484
"2019-09-22","hhs2",2018-02-24,"ili perc","2018-09",4.95815
"2019-09-22","hhs2",2018-03-03,"ili perc","2018-10",4.64753
"2019-09-22","hhs2",2018-03-10,"ili perc","2018-11",3.6831
"2019-09-22","hhs2",2018-03-17,"ili perc","2018-12",3.20794
"2019-09-22","hhs2",2018-03-24,"ili perc","2018-13",3.21338
"2019-09-22","hhs2",2018-03-31,"ili perc","2018-14",2.90488
"2019-09-22","hhs2",2018-04-07,"ili perc","2018-15",2.56448
"2019-09-22","hhs2",2018-04-14,"ili perc","2018-16",2.28189
"2019-09-22","hhs2",2018-04-21,"ili perc","2018-17",2.18437
"2019-09-22","hhs2",2018-04-28,"ili perc","2018-18",2.97661
"2019-09-22","hhs2",2018-05-05,"ili perc","2018-19",1.99419
"2019-09-22","hhs2",2018-05-12,"ili perc","2018-20",1.95103
"2019-09-22","hhs2",2018-05-19,"ili perc","2018-21",2.07015
"2019-09-22","hhs2",2018-05-26,"ili perc","2018-22",1.91661
"2019-09-22","hhs2",2018-06-02,"ili perc","2018-23",1.51493
"2019-09-22","hhs2",2018-06-09,"ili perc","2018-24",1.42361
"2019-09-22","hhs2",2018-06-16,"ili perc","2018-25",1.40763
"2019-09-22","hhs2",2018-06-23,"ili perc","2018-26",1.28324
"2019-09-22","hhs2",2018-06-30,"ili perc","2018-27",1.27543
"2019-09-22","hhs2",2018-07-07,"ili perc","2018-28",0.897869
"2019-09-22","hhs2",2018-07-14,"ili perc","2018-29",1.10442
"2019-09-22","hhs2",2018-07-21,"ili perc","2018-30",0.983368
"2019-09-22","hhs2",2018-07-28,"ili perc","2018-31",1.00842
"2019-09-22","hhs2",2018-08-04,"ili perc","2018-32",1.09543
"2019-09-22","hhs2",2018-08-11,"ili perc","2018-33",1.04028
"2019-09-22","hhs2",2018-08-18,"ili perc","2018-34",1.23797
"2019-09-22","hhs2",2018-08-25,"ili perc","2018-35",1.16209
"2019-09-22","hhs2",2018-09-01,"ili perc","2018-36",1.43392
"2019-09-22","hhs2",2018-09-08,"ili perc","2018-37",1.54246
"2019-09-22","hhs2",2018-09-15,"ili perc","2018-38",1.88829
"2019-09-22","hhs2",2018-09-22,"ili perc","2018-39",2.05903
"2020-09-20","hhs2",2018-09-29,"ili perc","2018-40",2.40705
"2020-09-20","hhs2",2018-10-06,"ili perc","2018-41",2.29853
"2020-09-20","hhs2",2018-10-13,"ili perc","2018-42",2.46048
"2020-09-20","hhs2",2018-10-20,"ili perc","2018-43",2.58571
"2020-09-20","hhs2",2018-10-27,"ili perc","2018-44",2.52453
"2020-09-20","hhs2",2018-11-03,"ili perc","2018-45",2.58885
"2020-09-20","hhs2",2018-11-10,"ili perc","2018-46",2.78365
"2020-09-20","hhs2",2018-11-17,"ili perc","2018-47",3.10646
"2020-09-20","hhs2",2018-11-24,"ili perc","2018-48",2.80702
"2020-09-20","hhs2",2018-12-01,"ili perc","2018-49",3.34601
"2020-09-20","hhs2",2018-12-08,"ili perc","2018-50",3.69764
"2020-09-20","hhs2",2018-12-15,"ili perc","2018-51",4.43811
"2020-09-20","hhs2",2018-12-22,"ili perc","2018-52",4.94003
"2020-09-20","hhs2",2018-12-29,"ili perc","2018-01",4.67007
"2020-09-20","hhs2",2019-01-05,"ili perc","2019-02",4.10228
"2020-09-20","hhs2",2019-01-12,"ili perc","2019-03",4.70337
"2020-09-20","hhs2",2019-01-19,"ili perc","2019-04",4.92727
"2020-09-20","hhs2",2019-01-26,"ili perc","2019-05",4.89391
"2020-09-20","hhs2",2019-02-02,"ili perc","2019-06",5.07658
"2020-09-20","hhs2",2019-02-09,"ili perc","2019-07",5.24199
"2020-09-20","hhs2",2019-02-16,"ili perc","2019-08",4.89984
"2020-09-20","hhs2",2019-02-23,"ili perc","2019-09",4.23651
"2020-09-20","hhs2",2019-03-02,"ili perc","2019-10",3.99885
"2020-09-20","hhs2",2019-03-09,"ili perc","2019-11",3.99544
"2020-09-20","hhs2",2019-03-16,"ili perc","2019-12",3.82446
"2020-09-20","hhs2",2019-03-23,"ili perc","2019-13",3.58738
"2020-09-20","hhs2",2019-03-30,"ili perc","2019-14",3.31345
"2020-09-20","hhs2",2019-04-06,"ili perc","2019-15",3.09478
"2020-09-20","hhs2",2019-04-13,"ili perc","2019-16",2.85128
"2020-09-20","hhs2",2019-04-20,"ili perc","2019-17",2.38567
"2020-09-20","hhs2",2019-04-27,"ili perc","2019-18",2.21648
"2020-09-20","hhs2",2019-05-04,"ili perc","2019-19",2.22731
"2020-09-20","hhs2",2019-05-11,"ili perc","2019-20",2.39002
"2020-09-20","hhs2",2019-05-18,"ili perc","2019-21",2.14608
"2020-09-20","hhs2",2019-05-25,"ili perc","2019-22",2.09315
"2020-09-20","hhs2",2019-06-01,"ili perc","2019-23",1.80031
"2020-09-20","hhs2",2019-06-08,"ili perc","2019-24",1.8678
"2020-09-20","hhs2",2019-06-15,"ili perc","2019-25",1.72926
"2020-09-20","hhs2",2019-06-22,"ili perc","2019-26",1.56557
"2020-09-20","hhs2",2019-06-29,"ili perc","2019-27",1.4352
"2020-09-20","hhs2",2019-07-06,"ili perc","2019-28",1.53967
"2020-09-20","hhs2",2019-07-13,"ili perc","2019-29",1.34992
"2020-09-20","hhs2",2019-07-20,"ili perc","2019-30",1.0099
"2020-09-20","hhs2",2019-07-27,"ili perc","2019-31",1.30084
"2020-09-20","hhs2",2019-08-03,"ili perc","2019-32",1.35354
"2020-09-20","hhs2",2019-08-10,"ili perc","2019-33",1.24566
"2020-09-20","hhs2",2019-08-17,"ili perc","2019-34",1.39651
"2020-09-20","hhs2",2019-08-24,"ili perc","2019-35",1.32212
"2020-09-20","hhs2",2019-08-31,"ili perc","2019-36",1.36032
"2020-09-20","hhs2",2019-09-07,"ili perc","2019-37",1.71159
"2020-09-20","hhs2",2019-09-14,"ili perc","2019-38",1.73812
"2020-09-20","hhs2",2019-09-21,"ili perc","2019-39",1.84239
"2021-09-26","hhs2",2019-09-28,"ili perc","2019-40",2.13358
"2021-09-26","hhs2",2019-10-05,"ili perc","2019-41",2.05604
"2021-09-26","hhs2",2019-10-12,"ili perc","2019-42",2.38122
"2021-09-26","hhs2",2019-10-19,"ili perc","2019-43",2.00852
"2021-09-26","hhs2",2019-10-26,"ili perc","2019-44",2.27944
"2021-09-26","hhs2",2019-11-02,"ili perc","2019-45",2.37942
"2021-09-26","hhs2",2019-11-09,"ili perc","2019-46",2.74556
"2021-09-26","hhs2",2019-11-16,"ili perc","2019-47",2.66873
"2021-09-26","hhs2",2019-11-23,"ili perc","2019-48",3.26948
"2021-09-26","hhs2",2019-11-30,"ili perc","2019-49",3.16621
"2021-09-26","hhs2",2019-12-07,"ili perc","2019-50",3.73351
"2021-09-26","hhs2",2019-12-14,"ili perc","2019-51",4.81587
"2021-09-26","hhs2",2019-12-21,"ili perc","2019-52",6.69473
"2021-09-26","hhs2",2019-12-28,"ili perc","2019-01",6.80679
"2021-09-26","hhs2",2020-01-04,"ili perc","2020-02",6.21231
"2021-09-26","hhs2",2020-01-11,"ili perc","2020-03",6.82373
"2021-09-26","hhs2",2020-01-18,"ili perc","2020-04",7.61598
"2021-09-26","hhs2",2020-01-25,"ili perc","2020-05",7.8425
"2021-09-26","hhs2",2020-02-01,"ili perc","2020-06",7.87662
"2021-09-26","hhs2",2020-02-08,"ili perc","2020-07",6.81988
"2021-09-26","hhs2",2020-02-15,"ili perc","2020-08",5.84719
"2021-09-26","hhs2",2020-02-22,"ili perc","2020-09",5.02339
"2017-10-01","hhs3",2015-10-17,"ili perc","2015-42",1.53341
"2017-10-01","hhs3",2015-10-24,"ili perc","2015-43",1.39535
"2017-10-01","hhs3",2015-10-31,"ili perc","2015-44",1.53447
"2017-10-01","hhs3",2015-11-07,"ili perc","2015-45",1.57587
"2017-10-01","hhs3",2015-11-14,"ili perc","2015-46",1.72001
"2017-10-01","hhs3",2015-11-21,"ili perc","2015-47",2.17414
"2017-10-01","hhs3",2015-11-28,"ili perc","2015-48",1.83996
"2017-10-01","hhs3",2015-12-05,"ili perc","2015-49",2.02023
"2017-10-01","hhs3",2015-12-12,"ili perc","2015-50",2.27837
"2017-10-01","hhs3",2015-12-19,"ili perc","2015-51",2.81511
"2017-10-01","hhs3",2015-12-26,"ili perc","2015-52",2.97706
"2017-10-01","hhs3",2016-01-02,"ili perc","2016-01",2.38365
"2017-10-01","hhs3",2016-01-09,"ili perc","2016-02",2.32746
"2017-10-01","hhs3",2016-01-16,"ili perc","2016-03",2.28403
"2017-10-01","hhs3",2016-01-23,"ili perc","2016-04",2.23747
"2017-10-01","hhs3",2016-01-30,"ili perc","2016-05",1.9545
"2017-10-01","hhs3",2016-02-06,"ili perc","2016-06",2.25924
"2017-10-01","hhs3",2016-02-13,"ili perc","2016-07",2.5782
"2017-10-01","hhs3",2016-02-20,"ili perc","2016-08",2.92751
"2017-10-01","hhs3",2016-02-27,"ili perc","2016-09",3.28807
"2017-10-01","hhs3",2016-03-05,"ili perc","2016-10",3.98252
"2017-10-01","hhs3",2016-03-12,"ili perc","2016-11",3.21284
"2017-10-01","hhs3",2016-03-19,"ili perc","2016-12",2.99606
"2017-10-01","hhs3",2016-03-26,"ili perc","2016-13",2.50992
"2017-10-01","hhs3",2016-04-02,"ili perc","2016-14",2.08681
"2017-10-01","hhs3",2016-04-09,"ili perc","2016-15",2.18209
"2017-10-01","hhs3",2016-04-16,"ili perc","2016-16",2.28142
"2017-10-01","hhs3",2016-04-23,"ili perc","2016-17",2.1751
"2017-10-01","hhs3",2016-04-30,"ili perc","2016-18",1.88369
"2017-10-01","hhs3",2016-05-07,"ili perc","2016-19",1.7257
"2017-10-01","hhs3",2016-05-14,"ili perc","2016-20",1.66207
"2017-10-01","hhs3",2016-05-21,"ili perc","2016-21",1.53578
"2017-10-01","hhs3",2016-05-28,"ili perc","2016-22",1.76657
"2017-10-01","hhs3",2016-06-04,"ili perc","2016-23",1.48481
"2017-10-01","hhs3",2016-06-11,"ili perc","2016-24",1.24603
"2017-10-01","hhs3",2016-06-18,"ili perc","2016-25",1.27777
"2017-10-01","hhs3",2016-06-25,"ili perc","2016-26",1.17232
"2017-10-01","hhs3",2016-07-02,"ili perc","2016-27",1.08185
"2017-10-01","hhs3",2016-07-09,"ili perc","2016-28",0.966718
"2017-10-01","hhs3",2016-07-16,"ili perc","2016-29",0.960438
"2017-10-01","hhs3",2016-07-23,"ili perc","2016-30",0.973083
"2017-10-01","hhs3",2016-07-30,"ili perc","2016-31",0.964079
"2017-10-01","hhs3",2016-08-06,"ili perc","2016-32",0.958014
"2017-10-01","hhs3",2016-08-13,"ili perc","2016-33",0.86297
"2017-10-01","hhs3",2016-08-20,"ili perc","2016-34",0.919978
"2017-10-01","hhs3",2016-08-27,"ili perc","2016-35",1.07718
"2017-10-01","hhs3",2016-09-03,"ili perc","2016-36",1.14754
"2017-10-01","hhs3",2016-09-10,"ili perc","2016-37",1.00533
"2017-10-01","hhs3",2016-09-17,"ili perc","2016-38",1.0972
"2017-10-01","hhs3",2016-09-24,"ili perc","2016-39",1.16354
"2018-09-23","hhs3",2016-10-01,"ili perc","2016-40",1.1181
"2018-09-23","hhs3",2016-10-08,"ili perc","2016-41",1.08883
"2018-09-23","hhs3",2016-10-15,"ili perc","2016-42",1.17636
"2018-09-23","hhs3",2016-10-22,"ili perc","2016-43",1.22343
"2018-09-23","hhs3",2016-10-29,"ili perc","2016-44",1.35918
"2018-09-23","hhs3",2016-11-05,"ili perc","2016-45",1.42255
"2018-09-23","hhs3",2016-11-12,"ili perc","2016-46",1.44312
"2018-09-23","hhs3",2016-11-19,"ili perc","2016-47",1.74561
"2018-09-23","hhs3",2016-11-26,"ili perc","2016-48",1.4863
"2018-09-23","hhs3",2016-12-03,"ili perc","2016-49",1.62466
"2018-09-23","hhs3",2016-12-10,"ili perc","2016-50",1.91967
"2018-09-23","hhs3",2016-12-17,"ili perc","2016-51",2.22379
"2018-09-23","hhs3",2016-12-24,"ili perc","2016-52",3.05115
"2018-09-23","hhs3",2016-12-31,"ili perc","2017-01",2.70326
"2018-09-23","hhs3",2017-01-07,"ili perc","2017-02",2.81366
"2018-09-23","hhs3",2017-01-14,"ili perc","2017-03",3.09968
"2018-09-23","hhs3",2017-01-21,"ili perc","2017-04",3.45232
"2018-09-23","hhs3",2017-01-28,"ili perc","2017-05",3.73339
"2018-09-23","hhs3",2017-02-04,"ili perc","2017-06",5.14024
"2018-09-23","hhs3",2017-02-11,"ili perc","2017-07",5.20003
"2018-09-23","hhs3",2017-02-18,"ili perc","2017-08",5.04643
"2018-09-23","hhs3",2017-02-25,"ili perc","2017-09",3.22344
"2018-09-23","hhs3",2017-03-04,"ili perc","2017-10",3.16441
"2018-09-23","hhs3",2017-03-11,"ili perc","2017-11",3.37065
"2018-09-23","hhs3",2017-03-18,"ili perc","2017-12",3.04208
"2018-09-23","hhs3",2017-03-25,"ili perc","2017-13",3.18057
"2018-09-23","hhs3",2017-04-01,"ili perc","2017-14",2.2263
"2018-09-23","hhs3",2017-04-08,"ili perc","2017-15",1.68528
"2018-09-23","hhs3",2017-04-15,"ili perc","2017-16",1.4153
"2018-09-23","hhs3",2017-04-22,"ili perc","2017-17",1.08681
"2018-09-23","hhs3",2017-04-29,"ili perc","2017-18",1.05564
"2018-09-23","hhs3",2017-05-06,"ili perc","2017-19",0.881369
"2018-09-23","hhs3",2017-05-13,"ili perc","2017-20",0.983731
"2018-09-23","hhs3",2017-05-20,"ili perc","2017-21",0.875947
"2018-09-23","hhs3",2017-05-27,"ili perc","2017-22",1.03431
"2018-09-23","hhs3",2017-06-03,"ili perc","2017-23",0.867823
"2018-09-23","hhs3",2017-06-10,"ili perc","2017-24",0.763187
"2018-09-23","hhs3",2017-06-17,"ili perc","2017-25",0.803839
"2018-09-23","hhs3",2017-06-24,"ili perc","2017-26",0.772005
"2018-09-23","hhs3",2017-07-01,"ili perc","2017-27",0.780702
"2018-09-23","hhs3",2017-07-08,"ili perc","2017-28",0.742163
"2018-09-23","hhs3",2017-07-15,"ili perc","2017-29",0.662374
"2018-09-23","hhs3",2017-07-22,"ili perc","2017-30",0.704218
"2018-09-23","hhs3",2017-07-29,"ili perc","2017-31",0.797999
"2018-09-23","hhs3",2017-08-05,"ili perc","2017-32",0.586092
"2018-09-23","hhs3",2017-08-12,"ili perc","2017-33",0.611163
"2018-09-23","hhs3",2017-08-19,"ili perc","2017-34",0.623141
"2018-09-23","hhs3",2017-08-26,"ili perc","2017-35",0.781271
"2018-09-23","hhs3",2017-09-02,"ili perc","2017-36",0.855259
"2018-09-23","hhs3",2017-09-09,"ili perc","2017-37",0.755999
"2018-09-23","hhs3",2017-09-16,"ili perc","2017-38",0.85242
"2018-09-23","hhs3",2017-09-23,"ili perc","2017-39",0.980626
"2019-09-22","hhs3",2017-09-30,"ili perc","2017-40",0.926452
"2019-09-22","hhs3",2017-10-07,"ili perc","2017-41",0.990782
"2019-09-22","hhs3",2017-10-14,"ili perc","2017-42",1.02534
"2019-09-22","hhs3",2017-10-21,"ili perc","2017-43",1.1191
"2019-09-22","hhs3",2017-10-28,"ili perc","2017-44",1.1806
"2019-09-22","hhs3",2017-11-04,"ili perc","2017-45",1.30465
"2019-09-22","hhs3",2017-11-11,"ili perc","2017-46",1.581
"2019-09-22","hhs3",2017-11-18,"ili perc","2017-47",1.64013
"2019-09-22","hhs3",2017-11-25,"ili perc","2017-48",1.60673
"2019-09-22","hhs3",2017-12-02,"ili perc","2017-49",1.6323
"2019-09-22","hhs3",2017-12-09,"ili perc","2017-50",1.83916
"2019-09-22","hhs3",2017-12-16,"ili perc","2017-51",2.29733
"2019-09-22","hhs3",2017-12-23,"ili perc","2017-52",3.53525
"2019-09-22","hhs3",2017-12-30,"ili perc","2017-01",3.43385
"2019-09-22","hhs3",2018-01-06,"ili perc","2018-02",3.70733
"2019-09-22","hhs3",2018-01-13,"ili perc","2018-03",4.75691
"2019-09-22","hhs3",2018-01-20,"ili perc","2018-04",5.97045
"2019-09-22","hhs3",2018-01-27,"ili perc","2018-05",7.06078
"2019-09-22","hhs3",2018-02-03,"ili perc","2018-06",7.51172
"2019-09-22","hhs3",2018-02-10,"ili perc","2018-07",7.34917
"2019-09-22","hhs3",2018-02-17,"ili perc","2018-08",5.53973
"2019-09-22","hhs3",2018-02-24,"ili perc","2018-09",3.78776
"2019-09-22","hhs3",2018-03-03,"ili perc","2018-10",2.89521
"2019-09-22","hhs3",2018-03-10,"ili perc","2018-11",2.66651
"2019-09-22","hhs3",2018-03-17,"ili perc","2018-12",2.52981
"2019-09-22","hhs3",2018-03-24,"ili perc","2018-13",2.47931
"2019-09-22","hhs3",2018-03-31,"ili perc","2018-14",1.99038
"2019-09-22","hhs3",2018-04-07,"ili perc","2018-15",1.73251
"2019-09-22","hhs3",2018-04-14,"ili perc","2018-16",1.49447
"2019-09-22","hhs3",2018-04-21,"ili perc","2018-17",1.33781
"2019-09-22","hhs3",2018-04-28,"ili perc","2018-18",1.25161
"2019-09-22","hhs3",2018-05-05,"ili perc","2018-19",0.886278
"2019-09-22","hhs3",2018-05-12,"ili perc","2018-20",0.866576
"2019-09-22","hhs3",2018-05-19,"ili perc","2018-21",0.90358
"2019-09-22","hhs3",2018-05-26,"ili perc","2018-22",0.923076
"2019-09-22","hhs3",2018-06-02,"ili perc","2018-23",1.00452
"2019-09-22","hhs3",2018-06-09,"ili perc","2018-24",0.728166
"2019-09-22","hhs3",2018-06-16,"ili perc","2018-25",0.689275
"2019-09-22","hhs3",2018-06-23,"ili perc","2018-26",0.689769
"2019-09-22","hhs3",2018-06-30,"ili perc","2018-27",0.665195
"2019-09-22","hhs3",2018-07-07,"ili perc","2018-28",0.65648
"2019-09-22","hhs3",2018-07-14,"ili perc","2018-29",0.468338
"2019-09-22","hhs3",2018-07-21,"ili perc","2018-30",0.453637
"2019-09-22","hhs3",2018-07-28,"ili perc","2018-31",0.471383
"2019-09-22","hhs3",2018-08-04,"ili perc","2018-32",0.47077
"2019-09-22","hhs3",2018-08-11,"ili perc","2018-33",0.48385
"2019-09-22","hhs3",2018-08-18,"ili perc","2018-34",0.620948
"2019-09-22","hhs3",2018-08-25,"ili perc","2018-35",0.581021
"2019-09-22","hhs3",2018-09-01,"ili perc","2018-36",0.702887
"2019-09-22","hhs3",2018-09-08,"ili perc","2018-37",0.773528
"2019-09-22","hhs3",2018-09-15,"ili perc","2018-38",0.897002
"2019-09-22","hhs3",2018-09-22,"ili perc","2018-39",1.04843
"2020-09-20","hhs3",2018-09-29,"ili perc","2018-40",1.02938
"2020-09-20","hhs3",2018-10-06,"ili perc","2018-41",1.12617
"2020-09-20","hhs3",2018-10-13,"ili perc","2018-42",1.30645
"2020-09-20","hhs3",2018-10-20,"ili perc","2018-43",1.29501
"2020-09-20","hhs3",2018-10-27,"ili perc","2018-44",1.50833
"2020-09-20","hhs3",2018-11-03,"ili perc","2018-45",1.5906
"2020-09-20","hhs3",2018-11-10,"ili perc","2018-46",1.542
"2020-09-20","hhs3",2018-11-17,"ili perc","2018-47",1.82669
"2020-09-20","hhs3",2018-11-24,"ili perc","2018-48",1.66322
"2020-09-20","hhs3",2018-12-01,"ili perc","2018-49",1.6979
"2020-09-20","hhs3",2018-12-08,"ili perc","2018-50",2.07991
"2020-09-20","hhs3",2018-12-15,"ili perc","2018-51",2.42371
"2020-09-20","hhs3",2018-12-22,"ili perc","2018-52",3.02437
"2020-09-20","hhs3",2018-12-29,"ili perc","2018-01",3.0555
"2020-09-20","hhs3",2019-01-05,"ili perc","2019-02",2.70743
"2020-09-20","hhs3",2019-01-12,"ili perc","2019-03",3.00594
"2020-09-20","hhs3",2019-01-19,"ili perc","2019-04",3.42145
"2020-09-20","hhs3",2019-01-26,"ili perc","2019-05",3.61022
"2020-09-20","hhs3",2019-02-02,"ili perc","2019-06",4.22377
"2020-09-20","hhs3",2019-02-09,"ili perc","2019-07",4.46423
"2020-09-20","hhs3",2019-02-16,"ili perc","2019-08",4.63998
"2020-09-20","hhs3",2019-02-23,"ili perc","2019-09",4.39673
"2020-09-20","hhs3",2019-03-02,"ili perc","2019-10",4.24765
"2020-09-20","hhs3",2019-03-09,"ili perc","2019-11",4.33347
"2020-09-20","hhs3",2019-03-16,"ili perc","2019-12",3.57671
"2020-09-20","hhs3",2019-03-23,"ili perc","2019-13",3.12954
"2020-09-20","hhs3",2019-03-30,"ili perc","2019-14",2.46967
"2020-09-20","hhs3",2019-04-06,"ili perc","2019-15",1.96737
"2020-09-20","hhs3",2019-04-13,"ili perc","2019-16",1.51843
"2020-09-20","hhs3",2019-04-20,"ili perc","2019-17",1.2436
"2020-09-20","hhs3",2019-04-27,"ili perc","2019-18",1.08402
"2020-09-20","hhs3",2019-05-04,"ili perc","2019-19",1.02676
"2020-09-20","hhs3",2019-05-11,"ili perc","2019-20",0.932613
"2020-09-20","hhs3",2019-05-18,"ili perc","2019-21",1.01843
